experiment_id,experiment_name,material_type,material_batch,build_platform,build_date,operator,status,process_type,build_orientation,layer_height,print_speed,nozzle_temperature,bed_temperature,infill_percentage,infill_pattern,shell_count,support_enabled,print_time_hours,volume_mm3,surface_area_mm2,bounding_box_x,bounding_box_y,bounding_box_z,tensile_strength_mpa,yield_strength_mpa,elongation_percent,surface_roughness_um,porosity_percent,density_g_per_cm3,hardness_hb,defect_count,nist_benchmark,nist_dataset_ref,notes
NIST-AMB201803-0001,Polycarbonate Z_vertical layer0.15mm AMB2018-03,Polycarbonate,NIST-PC-201911-01,Markforged X7,2019-11-08T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),Z_vertical,0.15,36.0,281.7,115.1,75,grid,3,True,4.64,6729.27,8219.26,171.16,18.87,4.63,48.62,38.7,17.36,15.35,2.0625,1.1905,14.6,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0002,Polycarbonate Z_vertical layer0.15mm AMB2018-03,Polycarbonate,NIST-PC-202103-02,Ultimaker S5,2021-03-08T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),Z_vertical,0.15,56.0,289.4,115.4,50,grid,3,True,2.5,6368.41,8305.68,172.94,19.3,4.24,46.8,36.68,19.23,9.39,1.9814,1.1866,14.0,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0003,Polycarbonate XY_45 layer0.1mm AMB2018-03,Polycarbonate,NIST-PC-202008-03,Stratasys F450,2020-08-08T00:00:00,NIST-Lab-B,completed,Material Extrusion (FDM),XY_45,0.1,52.9,289.1,105.2,50,grid,3,False,3.56,6048.12,8674.89,171.53,21.12,3.71,61.57,51.66,15.97,15.05,2.8411,1.1866,18.5,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_45. Process: Material Extrusion (FDM).
NIST-AMB201803-0004,Polycarbonate Z_vertical layer0.3mm AMB2018-03,Polycarbonate,NIST-PC-202304-04,Stratasys F450,2023-04-12T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),Z_vertical,0.3,37.9,278.7,106.7,50,grid,3,True,6.9,5098.69,8326.77,174.25,20.32,3.2,47.92,39.69,22.09,14.84,3.3035,1.1826,14.4,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0005,Polycarbonate Z_vertical layer0.15mm AMB2018-03,Polycarbonate,NIST-PC-202103-05,Ultimaker S5,2021-03-02T00:00:00,NIST-Lab-C,completed,Material Extrusion (FDM),Z_vertical,0.15,36.9,265.9,105.7,75,grid,3,True,5.63,5756.99,8142.66,173.43,19.21,3.84,47.73,38.58,14.12,16.8,2.9916,1.1883,14.3,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0006,Polycarbonate XY_0 layer0.25mm AMB2018-03,Polycarbonate,NIST-PC-202305-06,Stratasys F450,2023-05-01T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),XY_0,0.25,56.7,283.5,103.5,50,grid,3,False,5.43,7872.5,8699.92,171.78,19.51,5.22,66.05,50.04,19.75,16.91,1.1368,1.198,19.8,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_0. Process: Material Extrusion (FDM).
NIST-AMB201803-0007,Polycarbonate XY_0 layer0.3mm AMB2018-03,Polycarbonate,NIST-PC-202105-07,Markforged X7,2021-05-01T00:00:00,NIST-Lab-C,completed,Material Extrusion (FDM),XY_0,0.3,58.4,266.3,112.7,50,grid,3,False,4.93,8296.56,8814.37,165.87,20.47,5.43,67.01,58.32,7.65,12.88,3.3968,1.1833,20.1,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_0. Process: Material Extrusion (FDM).
NIST-AMB201803-0008,Polycarbonate XY_0 layer0.3mm AMB2018-03,Polycarbonate,NIST-PC-201901-08,Ultimaker S5,2019-01-17T00:00:00,NIST-Lab-C,completed,Material Extrusion (FDM),XY_0,0.3,46.8,276.3,106.3,25,grid,3,False,4.31,5054.84,7620.53,167.1,18.83,3.57,56.6,39.91,5.29,14.35,2.8747,1.1924,17.0,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_0. Process: Material Extrusion (FDM).
NIST-AMB201803-0009,Polycarbonate Z_vertical layer0.25mm AMB2018-03,Polycarbonate,NIST-PC-201801-09,Markforged X7,2018-01-06T00:00:00,NIST-Lab-B,completed,Material Extrusion (FDM),Z_vertical,0.25,42.0,286.0,117.3,50,grid,3,True,6.41,5525.51,7628.78,169.55,18.06,4.01,46.32,33.54,8.4,11.12,1.5908,1.1836,13.9,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0010,Polycarbonate XY_0 layer0.15mm AMB2018-03,Polycarbonate,NIST-PC-202206-10,Stratasys F450,2022-06-18T00:00:00,NIST-Lab-A,failed,Material Extrusion (FDM),XY_0,0.15,46.6,276.4,101.0,100,solid,3,False,6.92,5081.94,8044.81,166.58,20.42,3.32,,,,17.0,3.6352,1.1933,17.8,1,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_0. Process: Material Extrusion (FDM).
